x,class,fold
the perception of fairness in social exchange a comparison of negatively and positively connected networks,sociology,test
reasearch the impact of uv radiation on trophic interactions in lakes direct and indirect effects on zooplankton communities,ecology,test
"factors that limit benthic microalgae, and their influence on grazer-microalgae interactions in a coastal salt marsh",oceanography,test
political science economic interdependence and interstate conflict,politic,test
globec 2000 gulf of alaska long-term observation program,oceanography,test
on the sumatran subduction zone and great sumatran fault,geophysics,test
mathematical sciences finite element methods for nonlinear pde's and adaptivity,math,test
preliminary exploration of molecular methods for the specific detection and differentiation of the bdellovibrios,oceanography,test
modelling non-linear relationships between long-memory variables,economics,test
paleomagnetic reversals records 1. comparison of odp leg 157 records with lava records on gran canaria; 2. analysis of reversal records; and 3.,geophysics,test
development and application of in-situ measurement of water vapor isotopes for hydrological and ecological,hydro,test
"mathematical sciences computation, control, optimization and vibration analysis of shell equations",math,test
on dynamic general equilibrium theorywith distortions,economics,test
cdma/hmd (hierarchical multiuser diversity) access schemes for multimedia wireless networks,networking,test
career development in structural seismology of earth's interior,geophysics,test
new architectures for almost-all-optical gigabit networks,networking,test
feeding ecology of mixotrophic bloom-forming dinoflagellates,oceanography,test
similarity based retrieval from video and pictorial databases,data,test
mathematical sciences linear and nonlinear waves in random media,math,test
transaction costs and the choice among sales procedures auction vs. negotiated sales of private timber and cattle,economics,test
mathematical sciences methods for developing and evaluating computer models used in integrated assessment,statistics,test
"on randomized algorithms, complexity theory, and quantum computers",theory,test
structure of subducting slabs at intermediate depths,geophysics,test
molecular analysis of drosophila neurogenic mutations,neuroscience,test
the analysis of geopolitics reconceptualizing international borders through the application of gis (geographic information systems),politic,test
software reliability assessment for high assurance systems,software,test
data speculation for instruction-level parallel processing systems,software,test
conference on control theory for partial differential equations,math,test
mathematical sciences problems in linear and nonlinear wavemotion,math,test
zooswat a group study on the structure and function of the epipelagic zooplankton community of the sargasso sea,oceanography,test
mathematical sciences statistical inference for time seriesmodels,statistics,test
microstructure and symmetry breaking phase transition analysis and numerical simulation,math,test
the differential impact of morbid diseases on the productivity of black and white labor in the agricultural south,economics,test
incidental nest predation in songbirds using behavioral indicators to determine ecological processes and scales,ecology,test
mathematical sciences the topology and geometry of intrinsically bent dna,math,test
empirical models of the automobile industry and implications of a carbon tax,economics,test
on-line estimation for atm networks,networking,test
mathematical sciences topics in nonparametric and semiparametric regression and correlation analysis,statistics,test
computational problems in evolutionary tree construction,theory,test
what causes large local-scale variation in tree diversity in a neotropical forest? an experimental approach,ecology,test
studies of contracting and strategic behavior,economics,test
mathematical sciences a computational model of aquatic animal locomotion,math,test
nirt nanostructured surfaces with long-range order for controlled self-assembly,metals,test
the long-term dynamics and evolution of dip-slip faults,geophysics,test
"credit, insurance and impediments to trade in theory and actual economies",economics,test
"reseach making the team gender, money, and mobility in wall street investment banks",sociology,test
observational constraints on theories of the geodynamo,geophysics,test
lter - georgia land/ocean margin ecosystem,oceanography,test
computational complexity in combinatorial and algebraic models,theory,test
corporate financing an international comparison,economics,test
"extreme values, time series and prediction",statistics,test
recruitment dynamic in event driven bank circulations,oceanography,test
algorithms for approximation and graph problems,theory,test
intergenerational and behavioral issues in public economics,economics,test
inflation and policy rules,economics,test
compositional techniques for verification and performance analysis of reactive probabilistic systems,software,test
the timing of work a agenda,economics,test
the application of a real-time biophysical model of phytoplankton photoacclimation in the upper ocean at sea,oceanography,test
information casacades in markets,economics,test
"paleomagnetic investigation of brunhes-matuyama reversal, chilean andes",geophysics,test
problems in fluid dynamics and elasticity,math,test
"partial support for the sndr planning document entitled, natural disaster reduction a plan for the nation",geophysics,test
on applying strategic bargaining models in union contract negotiations,economics,test
"biogeoinformatics of hexacorallia (corals, sea anemones, and their allies) interfacing geospatial, taxonomic, and environmental data for a group of marine",oceanography,test
taxation and household financial behavior,economics,test
social stratification in eastern europe after 1989 data preparation and analysis,sociology,test
the effects of dispersal on the population dynamics and parasitoid diversity of a multiparasitoid-host system,ecology,test
"2000 gordon conference on aqueous corrosion, july 23-27, 2000, colby sawer college, new london, new hampshire",metals,test
fault zone and laterally heterogeneous structure effects on the rupture history and strong ground motion of the loma prieta earthquake,geophysics,test
climatic and ecological controls on the holocene range expansion of western hemlock and western redcedar in the interior pacific northwest,ecology,test
"biochemical control of larval settlement and metamorphosis in the coral, agaricia humilis",oceanography,test
mathematical sciences quantum mechanical classical lattice spin systems,math,test
using experimental data to validate a dynamic behavioral model of human capital investments in children evaluating the impact of mexico's progresa program,economics,test
mathematical sciences beam propogation methods,math,test
the physiology of sclerochronology mechanism and variationin formation of high density bands in the massive coral montastrea annularis,oceanography,test
semantic concurrency control for real-time object- oriented databases,data,test
models of time inconsistency and self control,economics,test
economic internationalization and the security politics of the european great powers prior to world war i,politic,test
qeib statistical issues in combining data for phylogenetic analysis,statistics,test
effects of flow on feeding behavior and growth rate of interface-feeding benthos size-dependent changes and recruitment bottlenecks,oceanography,test
mathematical sciences algebraic methods in systems theory,math,test
an ising model approach to the behavior of the geomagnetic field,geophysics,test
netmine finding patterns in network data,data,test
assessment via contests (1) persistence in occupation choice; (2) over/underconfidence and interaction levels,economics,test
crb ecological consequences of the recent introduction of green crabs to the pacific coast of north america,ecology,test
"synthesis, structure and properties of magnetic nanocrystalsand nanocrystalline arrays",metals,test
applications of general equilibrium to incomplete markets and finance,economics,test
mathematical sciences dynamic bifurcation phenomena in excitable systems,math,test
development and application of descriptive complexity,theory,test
general theory of minimum aberration and its applications,statistics,test
mathematical sciences structured deformations and the microgeometry of continua,math,test
mathematical sciences transition to chaos in multidimensional hamiltonian systems,math,test
efficient fair queuing and load balancing,networking,test
stability of non-autonomous and random linear systems,math,test
abr synthesis of on phytoplankton nutrient dynamics and microbial food web interactions,oceanography,test
the physics of gouge-filled fault zones,geophysics,test
friction of rocks and simulated fault gouge at seismic slip velocities,geophysics,test
mathematical sciences polya trees for nonparametric bayesian analysis,statistics,test
"hydrodynamics of overpressuring in the sacramento valley, california",hydro,test
new applications of soliton theory in nonlinear optics,math,test
mathematical sciences bayesian experimental design and prior elicitation in response to surface models,statistics,test
empirical implications of sunk entry and exit costs,economics,test
reasoning about specifications of computation,software,test
sediment matrix control of magnetization effects on inclination error and intensity,geophysics,test
bayesian econometric modeling and nonparametric identification,economics,test
biotic interactions and mycorrhizal dynamics in drought-stressed pinyon pine,ecology,test
"mathematical sciences nonlinear demographic dynamics mathematical models, biological experiments, and data analyses",math,test
settlement site location and development of an estuarine crustacean responses to chemical and current cues,oceanography,test
"foundations and mathematical aspects of computer science (an ams session) to be held at kent state university, november,l995",theory,test
"u.s. globec an experimental evaluation of biological and physical modulators of foraging success in early cod larvae on georges bank prey motility, light depth",oceanography,test
analysis of school choices,economics,test
social networks in the labor markets,economics,test
gps investigation of the caribbean - north america plate boundary,geophysics,test
gulls as cross-ecosystem links in new england coastal communities.,ecology,test
integrated stratigraphic and hydrogeologic aquifer analysis toward improved multi-scale characterization of alluvial aquifer systems,hydro,test
structural empirical on temporal and geographic variations in economic activity,economics,test
quasi-experiments in health and environmental economics,economics,test
on distributive justice norms concerning income a cross-national experimental study of individuals' choice of allocation,politic,test
nitrogen cycling in the upwelling waters of the equatorial pacific region,oceanography,test
semantics of object-oriented languages,software,test
crb optimization strategies for reef restoration using cultured hermatypic corals,ecology,test
natural-enemy response to herbivore host-race formation specialization to host-plant complexes,ecology,test
factors controlling solute dilution in heterogeneous formations,hydro,test
"the june 9, 1994 bolivian earthquake a detailed study of the largest deep earthquake in recorded history",geophysics,test
a new paradigm for the analysis of transient saturated/unsaturated flow and transport in randomly heterogeneous soils,hydro,test
host specificity and species richness of tropical insect herbivores in new guinea an outcome of ecological factors or evolutionary history,ecology,test
multiple structural changes with deterministic and stochastic trends,economics,test
heterogeneous specification formalisms for reactive systems,software,test
rational expectations and learning an experimental analysis,economics,test
non-commensal interactions of epiphytic bacteria with plants,ecology,test
mathematical sciences multivariate and censored data analysis methods for astronomy,statistics,test
csedi seismological and geodynamical study of the transition zone within and near subducting slabs,geophysics,test
monte carlo filters for nonlinear and non-gaussian dynamic systems,statistics,test
automated analysis of concurrent systems,software,test
improving the design of interactive software,software,test
political science equality in context implications of multidimensional values for policy preferences,politic,test
practical compile time analyses for evolving c systems,software,test
intelligent content based access to networked video databases,data,test
balanced cross section and three-dimensional structural analysis of the northridge earthquake thrust system,geophysics,test
"reproduction, dispersal, and recruitment of hydrothermal vent crabs a tractable system",oceanography,test
role of mrna transport in isoactin sorting and process outgrowth,neuroscience,test
diversity maintenance in variable environments multiple mechanisms at multiple scales,ecology,test
"universities' conference, cambridge, ma; spring and fall of 1994, 1995 and 1996",economics,test
"symmetry-breaking and pattern formation, with applications to parametrically excited surface waves",math,test
limited contracting in general equlibrium models,economics,test
mathematical sciences global dynamics and geometry in high dimensional nonlinear dynamical systems,math,test
the population dynamics of modern self-help/mutual aid organizations,sociology,test
"broadband seismic studies of dome growth at merapi volcano, indonesia",geophysics,test
nitrogen-production dynamics in marine microbial mat and stromatolite systems,oceanography,test
mathematical sciences asymptotic analysis of nonlinear hyperbolic waves,math,test
cmg   models of sub-grid scale turbulence in earth's core and the geodynamo,geophysics,test
"arsenic contaminated groundwater in bangladesh characterizing the source, mobilization and transport",hydro,test
a framework for utilization-based absolute delay guarantees using adaptive prefetching,networking,test
row laboratory studies of facultative anaerobic benthic foraminifera,oceanography,test
"social movements, elections, public policy",politic,test
ecohab-gom the ecology and oceanography of toxic alexandrium blooms in the gulf of maine,oceanography,test
seismic anisotropy and mantle flow from long period surface waves,geophysics,test
nonlinear dynamic forecasting for signal processing applications,math,test
population variation in predation effects on the life history and ecology of the salamander desmognathus quadramaculatus.,ecology,test
program trading an experimental study,economics,test
query optimization for multi-database and data warehousing,data,test
the role of phytoplankton in the biogeochemical cycling of iodine,oceanography,test
mathematical sciences processing massive noisy data with hidden structure,statistics,test
coordination networks in biological sciences (rcnbs) comparative demographic analyses using a global network of large plots,ecology,test
mathemetical sciences variational analysis and dynamical optimization,math,test
heterogeneity and aggregate dynamics,economics,test
chemical defense by marine phytoplankton against protozoan grazers,oceanography,test
"integrated modeling of groundwater, unsaturated zone, and surface hydrologic processes over prairie topography",hydro,test
long-range dependence and heavy tails in communication networks,networking,test
"capital market imperfections, product market competition andthe cyclical behavior of price-cost markups",economics,test
learning from multiple-instance and unlabeled data,theory,test
the concentration of urban poverty,economics,test
and-or parallel execution of logic programs a stack copying approach,software,test
mathematical studies in quantum mechanics,math,test
"quantitative environmental biology workshop september 7-9, 2000",ecology,test
mathematical sciences algorithms for convex programming-interior point and proximal point methods,math,test
powre development of fiber optic sensors for biogeochemical studies,hydro,test
"contributions to national security alternative theories and tests of alliance behavior, defense and growth, and global collective action",economics,test
globec planning and implementation office for the globec initiative,oceanography,test
measuring the impact of corporate governance,economics,test
"a conference on the history of health and nutrition in the western hemisphere to be held in the autumn of 1995 in columbus, ohio",economics,test
quantum mechanical modeling of major mantle minerals,geophysics,test
light spanners for hard metrical optimization problems,theory,test
mechanisms for ensuring the integrity of distributed object systems,software,test
fundamental evaluation of tracer techniques for characterizatiion of non-aqueous phase liquids (napls) retention volumes in heterogeneous aquifers,hydro,test
home-based work and women's labor force decisions,economics,test
a sger proposal to test the hypothesis of a sub-surface biosphere within oceanic crust,oceanography,test
semi-parametric estimation of sample selection models,economics,test
"voting, assignment and matching under dichotomous preferences",economics,test
development of a model of wetland community structure experimental testing and evaluation,ecology,test
enhancement and quenching of combustion by fluid flow,math,test
geometric methods in cryptography,theory,test
computational methods for mixed effects models,statistics,test
us-globec cross-frontal processes and recruitment variabiliorges bank -- diet of calanus finmarchicus copepodiduplii,oceanography,test
colorado plateau/rio grande rift/ great plains seismic transect,geophysics,test
"iccp99 international conference on complementarity problems contemporary applications and algorithms, june 9-12, 1999, madison, wisconsin",math,test
"c- spatial modeling of a biological invasion the spread of sudden oak death and the importance of host genetics, environmental forcings, and community",ecology,test
the evolution of global labor markets,economics,test
"mathematical sciences pattern formation, turbulence and singularities in pdes",math,test
stable patterns and synchronization in dynamical systems,math,test
axon euidance genes in c. elegans,neuroscience,test
the application of a real-time biophysical model of photoplankton photoacclimation in the upper ocean at sea,oceanography,test
one host shift leads to another formation of host races in a gall- and stem-boring beetle,ecology,test
"mathematical sciences robust multivariate algorithms, methodology and theory",statistics,test
spatial and spatial-temporal bayesian point process models for bioabudance and other applications,statistics,test
exact results in statistical mechanics,math,test
facility for supporting the analysis and integration of regional and global gps networks for crustal deformation,geophysics,test
mathematical modeling and analysis of high precision sensors for polymer characterization,math,test
conditions for asymptotic stability in olg and growth models,economics,test
efficient and robust semiparametric estimation in time series models,economics,test
"the dynamics of representation the public, politics, and budgetary policy",politic,test
high dimensional statistical problems theory and methods,statistics,test
long-term dynamics of old-growth northern hardwood forests restoration and expansion of permanent plot studies,ecology,test
between giving and getting donor choice and the field of workplace charity,sociology,test
molecular biology of nitrogen assimilation and growth in marine coccoid cyanobacteria,oceanography,test
the economics of biodiversity preservation,economics,test
"entering adulthood poor, socially disadvantaged and resiliant",sociology,test
"the economic progress of american black workers in periods of crisis and change, 1910-1950",economics,test
globec 2000 nested interdisciplinary models for the gulf of alaska,oceanography,test
inference and computation in multi-level models,statistics,test
"mathematical sciences wavelets, mulivariate splines, and radial functions",math,test
mathematical sciences degree of convergence of eigenfunction expansions,math,test
efficient algorithms with practical applications,theory,test
on updating the militarized dispute data set,politic,test
parental age and allocation of resources to young children a,sociology,test
rpg regulation of neurogenesis throughout the lifespan,neuroscience,test
problems in gravitational radiation,gravitional,test
mathematical sciences models and structures of multivariatedistributions,statistics,test
macroscopic approximations to networks with applications to performance analysis,networking,test
union dynamics at the establishment level,economics,test
"the welfare state in comparative perspective determinants,program characteristics, and outcomes",sociology,test
maximizing resource utilization through admission control,theory,test
"cooperation and conflict between ""old"" and ""new"" social movements the case of organized labor and the environmental movement",sociology,test
destruction of chaos and detection of order in multi-dimensional dynamical systems,math,test
effects of regulation on the price and quality of childcare,economics,test
inductive databases and knowledge scouts,data,test
mathematical sciences interior point methods for linear andnonlinear programming,math,test
laboring against liberalization in north america emerging coalitions between u.s. and mexican unions,sociology,test
experimental diagenesis and sedimentary seal formation,geophysics,test
making a difference the legislative impact of women in public office,politic,test
"numerical modeling of mantle convection a workshop in cooperative studies of the earth's deep interior, to be heldmarch 19020, 1993, los alamos national",geophysics,test
an archival digital libraries repository,data,test
efficient refinements for large sample inference,economics,test
mathematical sciences random coefficient models and robust analysis,statistics,test
impact of meiofauna on microbial food resources in streams,ecology,test
mathematical sciences on a class of degenerate systems arising from the electrical heating of conductors,math,test
developments of geodynamo theory,geophysics,test
mathematical sciences applied mathematics workshop for materials studies and industrial applications,math,test
unavco workshop on continuous gps networks and seismic networks,geophysics,test
modeling 3-d seismic wave propagation with a pseudospectral method,geophysics,test
"travel support estuarine federation meeting, 1992",oceanography,test
selective translocation of pkc-delta to the nucleus in a neuronal model of apoptosis,neuroscience,test
mathematical sciences nonlocal models in continuum mechanics,math,test
"variable effects of nutrients, productivity, consumption and the food pulse on floodplain river ecosystems",ecology,test
analysis and computation of shape sensitivities for elliptic interface problems,math,test
labor mobility and decentralized government decision-making,economics,test
"workshop on high performance computing and communications and the national challenge fall 1994 washington, d.c",software,test
understanding carbon flows between the euphotic zone and 1000 m depth,oceanography,test
"on trade unions, employers' organizations and collective bargaining data collection and analysis for nineteen countries",politic,test
elastic and anelastic properties of molten and partially molten iron alloys,geophysics,test
"distribution, nutrition, physiology and phylogenetics of oligobacteria",oceanography,test
the political psychology of crisis negotiations an experimental design,politic,test
mathematical sciences mathematical problems from materials science,math,test
complexity costs and contract incompleteness,economics,test
multiple interpretations of domain-specific languages,software,test
"a visual information management system image databases, knowledge and visualization",data,test
modeling bed-surface dynamics in gravel-bed rivers,hydro,test
biochemical composition and energy reserves in larvae of deep-sea crabs chaceon spp. in relation to maternal nutrition history,oceanography,test
"stability problems in plasma physics, stellar dynamics and classical field theory",math,test
modeling the near-field terms of deep earthquakes possible constraints on the mechanics of rupture,geophysics,test
design and analysis of dynamic processes a stochastic approach,theory,test
network performance with fractal traffic,networking,test
mathematical sciences sensitivity of solutions to problem of locating interacting hub facilities,statistics,test
mathematical sciences mathematics and the theory of voting,math,test
dynamically extensible computational reflection,software,test
csedi theoretical and experimental studies of some materials fundamental to the deep mantle,geophysics,test
non-equilibrium competition and coexistence experimental tests of mechanistic models,ecology,test
information processing biases in experimental asset markets,economics,test
determinants of demographic choice and intergenerational transfers,economics,test
mathematical sciences application of interval analysis in statistical computing,statistics,test
the effects of climate change and plant community composition on methane cycling in peatlands,ecology,test
higher education and work histories educational attachment and the labor force attachment of married japanese women,sociology,test
propagation and scattering of coupled elastic surface waves in curved structure,math,test
the money management industry its structure and effect on stock prices,economics,test
closure of thermodynamically constrained models for multiphase systems,hydro,test
international technological inventive activity and the u.s. position,sociology,test
"asymptotic expansions, inverse problems and homogenization of boundary values",math,test
testing the role of resource heterogeneity and clonal integration on plant diversity in grasslands,ecology,test
inter-annual variability of the hydrologic cycle over north america,hydro,test
nonlinear dynamics with applications in physical systems,math,test
complexity and optimization issues in constraint query languages,data,test
turbulence theory approximation of higher statistics,math,test
fundamental and applied problems in granular flows,math,test
"gene flow, dispersal, and systematics of deep-sea hydrothermal vent organisms",oceanography,test
auctions efficiency and existence of equilibrium,economics,test
csedi  res. toward mapping 3d variations in temperature and chemical composition in the upper mantle through a mineral physics-based,geophysics,test
combining rrna probes and cell cycle analyses to investigate in situ growth rates of eukaryotic phytoplankton,oceanography,test
gene expression and regulation of a gaba receptor,neuroscience,test
political science in whom do we trust? confidence in american political institutions,politic,test
quantitative international business cycle models with friction,economics,test
applications of logic to computer science,theory,test
"a multi-level, integrated theory of values measuring values with the factorial survey method",sociology,test
working groups in data analysis and mining,data,test
nonparametric and semiparametric modelling for data analysis,statistics,test
organized turbulence over forested landscapes theoretical basis for a low-dimensional transport model,hydro,test
mathematical sciences numerical analysis and computation ofinvariant manifolds,math,test
collabrative  sequential monte carlo methods and their applications,statistics,test
"risk, insurance and wealth in northern nigeria",economics,test
dynamics of wage structure and of human capital formation,economics,test
shock wave measurements on mantle minerals and magmas,geophysics,test
combinatorial optimization involving multiple objectives approximation algorithms and applications,theory,test
nonlinear stability of a premixed flame under confinement,math,test
"herbivory in oak hybrid zones general patterns, genetic relationships, and mechanisms",ecology,test
mathematical sciences some inverse problems in pde,math,test
"mathematical sciences image analysis, spatial statistics, and bayesian inference",statistics,test
a scalable communication integrated optical network (scion) for bandwidth greedy multimedia applications,networking,test
an sh- and p-wave reflection study of the sikeston ridge in the central new madrid seismic zone,geophysics,test
quantifying stopover habitat use by forest dwelling migratory landbirds using doppler radar,ecology,test
control and stabilization of elastic systems anisotropic elasticity and other coupled systems,math,test
interactions in a stage-structured species resource mediated stage dynamics,ecology,test
policy outcomes and efficiency in political systems,economics,test
"generation of overpressures, fluid migration, mass transport and diagenesis associated with deformation and dissolution of allochthonous salt sheets in the",hydro,test
"minority identity, resistance, and the opportunity structure the interplay of race, ethnicity, gender and social",sociology,test
neuronal precursor gene function during neurogenesis,neuroscience,test
investment decisions and environmental policy,economics,test
strategic information manipulation as a model of assets and aggregate fluctuations,economics,test
geographic variation in costs and benefits of vam fungi-little bluestem (schizachyrium scoparium) associations,ecology,test
high-accuracy determination of the vertical from gps,geophysics,test
"bargaining power, sequential recontracting, and the principal-agent problem",economics,test
mathematical sciences development and analysis of three- species epidemic models,math,test
dispersal limitation does it limit the distribution and abundance of pioneers in a neotropical forest?,ecology,test
"cmg  an adaptive mesh, spectral element formulation of the well-posed primitive equations for climate and weather modeling",math,test
"approximation algorithms, with an emphasis on lp-duality methods",theory,test
economics knowledge of rivals' types and its effect on auctions,economics,test
international travel grants for participation in 16th world congress of international political science association,politic,test
proposal to create a history of global change information server (hgcis),economics,test
complexity studies in communications and quantum computations,theory,test
the topology and geometry of intrinsically bent dna,math,test
nsf conference in the mathematical sciences on functional data analysis,statistics,test
"anti-predator defenses of marine hydroids alternative strategies, biogeographic patterns and ecological implications",oceanography,test
continuum physics & systems of conservation laws,math,test
1995 ieee international symposium on information theory,networking,test
experimental implications of theoretic models workshop,politic,test
polynomial-time algorithms for network problems on planar graphs,theory,test
"algorithms for graphs, matroids and crossing set families",theory,test
abr comprehensive analysis and summarization of the super program,oceanography,test
optimal consumption and portfolio policies when preferences exhibit the properties of local substitution and habit formation,economics,test
"gender, opportunity, and identity in new york's informal economy",sociology,test
the career implications of life course opportunities and planning,sociology,test
abr-quantitative aspects of prey chemical defenses,oceanography,test
"neutron, synchrotron x-ray diffraction and instrumented indentation studies of deformation in shape-memory alloys",metals,test
"absolute paleointensities from the gilbert-gauss to the upper mammoth reversal sequences in lavas on the wai'anae volcano, hawaii",geophysics,test
delay time tomography in anisotropic media,geophysics,test
inner-city price differentials revisited,economics,test
"examining the environmental impacts of population, affluence and technology",sociology,test
mathematical sciences resampling methods under long range dependence,statistics,test
"international symbiosis society congress support, august 17-23, 2003, saint mary's university, halifax, nova scotia",ecology,test
what do voters know about cabinet formation?,politic,test
stochastic tomography and characterization of crust and mantle of california,geophysics,test
mathematical sciences inverse problems in neutron reflectometry,math,test
nonlinear waves in uniform and periodic media,math,test
more on politics and monetary policy evidence from individual fomc members' reaction functions,politic,test
resource control in communication systems with time- varying characteristics,networking,test
matching in centralized and decentralized labor markets,economics,test
data warehouse maintenance over dynamic distributed information sources,data,test
nitrification and denitrification transformation rates and molecular probes for bacteria in the nitrogen cycle,oceanography,test
integrated teaching and activities on computational thermodynamics and systems materials design of magnesium alloys,metals,test
"reu  dietary deficiencies of protein and lipid, and the experimental resolution of ""food limitation"" in freshwater zooplankton",ecology,test
phytolith and carbon isotopic evidence for early holocene grassland dynamics,ecology,test
imaging the mechanics of shallow subduction the oaxaca gps array,geophysics,test
mathematical sciences lipschitz stability and its application to numerical analysis in optimal control,math,test
"mathematical sciences ""solution of equations and paths of equations with homotopies and infinitesmals""",math,test
relative effects of hostplant chemistry and insect predators on herbivorous insects and their hostplants,ecology,test
mathematical sciences adaptive control of linear stochasticsystems driven by poorly known markov processes,math,test
alternative monetary policy rules under rational expectations,economics,test
mathematical sciences mapping the dynamics of neural network,math,test
mathematical modeling of advanced liquid crystal systems ferroelectricity and chirality,math,test
relative effects of differential seed and seedling predation by crabs on tropical forest composition and structure,ecology,test
in gravitational and relativistic physics,gravitional,test
the behavior of states in recurring crises bargaining and learning,politic,test
"workshop in molecular neurogenetics; september 21-25, 1994; bar harbor, maine",neuroscience,test
corporate turnarounds an experimental examination,economics,test
a negotiated transition to democracy data collection for an archive,politic,test
us globec interaction of zooplankton vertical migration with episodic mesoscale advective features impacts on population retention and loss,oceanography,test
free oscillations and large-scale lateral heterogeneity of the earth,geophysics,test
remote sensing of the ne pacific retrospective and concurrent time series analysis using multiple sensors on multiple scales,oceanography,test
the seismological structure of the tonga slab and lau backarc basin,geophysics,test
"international focused workshop materials in extreme environments; denali national park, alaska; august 23-24, 2002",metals,test
"surface waves, anisotropy, and mantle flow",geophysics,test
estimating congressional district-level opinions from national surveys using a bayesian hierarchical logistic regression model,politic,test
magnetotelluric survey along the pace transect in the southwestern united states,geophysics,test
policy networks and federal enforcement do local networks enhance npdes permit enforcement?,politic,test
regulation of rangeland grasshopper populations and communities differing dominant mechanisms over time and space,ecology,test
paths of a generation from socialist up-bringing to post-socialist adulthood,sociology,test
"csedi  paleomagnetism, the geodynamo and core-mantle interactions",geophysics,test
mathematical sciences random effects models in survival analysis,statistics,test
non-determinism in deductive databases,data,test
divided government in the american states,politic,test
"an experimental study of revegeta- tion in meadows disturbed by feral pigs in mendocino county, california",ecology,test
multiple investigator common vehicle study of political persuasion and attitude change,politic,test
nonlinear dynamics of electrophysiological neural models,math,test
mathematical sciences nonlinear phenomena in fluid dynamicsand related p.d.e.'s with applications to atmosphere-ocean science,math,test
csedi  the influence of thermal conductivity on stabilization and feedback in mantle convection,geophysics,test
mathematical sciences  in nonlinear wave motion,math,test
a study of the fluid motion occurring near the top of the earth's liquid outer core,geophysics,test
perceptions of success and failure in the fall of the german democratic republic (gdr),sociology,test
mathematical sciences analysis of nonstationary atmosphericphenomena,statistics,test
"a proposal for on markov chains, approximate counting and finite metric spaces",theory,test
effects of civic engagement and cognitive repertoires on political participation,sociology,test
magnetofossils in marine sediments rock magnetic experiments on artificial and natural samples,geophysics,test
upwelling fronts collision with intertidal zone and barnacle recruitment in california,oceanography,test
us globec productivity of calanus finmarchicus and fluctuations in growth and survival of cod and haddock larvae on georges bank a synthesis of observations,oceanography,test
structure and resilience of trout stream food webs,ecology,test
"annual cliometrics conferences to be held may, 1994 at the university of arizona, tucson",economics,test
abr refining and broadening of a method for estimating productivity of coastal-marine eucaryotic decomposer microbes,oceanography,test
stochastic control models in finance,math,test
non-stationary models for spatial statistics and bayesian image analysis,statistics,test
neural mechanisms for generating temporal coding,math,test
strain-induced ferromagnetism in intermetallic compounds,metals,test
testing the effects of campaign finance laws in state legislative elections,politic,test
"gravitation, quantum statistical fields, and relativistic cosmology",gravitional,test
the revelation project query processing in behavioral object-oriented databases,data,test
"fertility transition in the rural south, 1910 to 1940",sociology,test
"monetary policy, corporate financial structure and economic fluctuations",economics,test
energy consumption and the returns to energy conservation,economics,test
testing community theories with environment by species-traits correlations a comparative and experimental approach in ponds,ecology,test
mathematical sciences mathematical models in cellular & developmental biology,math,test
gdnf family ligands in parasympathetic neuron development,neuroscience,test
ases an approximate search engine for structure,data,test
mathematical sciences topics in applied mathematics,math,test
some problems in nonparametric regression,statistics,test
on spending and incumbency in congressional elections a game-theoretic approach,politic,test
an informational rationale for political parties,politic,test
mathematical sciences problems in statistical modeling,statistics,test
social networks among cuban intellectuals,sociology,test
marine primary producers >20um from the eastern equatorial pacific quantitative estimates and taxonomic analysis for u.s. jgofs,oceanography,test
class conflict over american education at the turn of the century,sociology,test
"integrating data management, analysis and visualization for scientific",data,test
net effects of rising co2 on the performance of plants and their insect herbivores,ecology,test
computing patterns in strings,theory,test
frg integrated computational and experimental methods for the accelerated maturation of materials,metals,test
communicating images of congressional policymaking to constituents an examination of congressional mass mailings,politic,test
seismological studies of deep earthquakes and subducting slabs,geophysics,test
analytical and numerical studies of direct and inverse problems for parabolic initial-boundary value problems,math,test
complexity of neural networks for applications,math,test
mechanistic controls of carbon flux by mesozooplankton a joint global ocean flux study synthesis,oceanography,test
powre molecular mechanisms of thyroid hormone action on stem cells,neuroscience,test
effects of plant diversity and functional characteristics on species invasions,ecology,test
infrastructure for software generators and components,software,test
weighted graph mapping and applications to parallel architectures,theory,test
some problems in structural and lattice complexity,theory,test
"on the dynamics of collective protest in the u.s., 1950-1995",sociology,test
the empirical analysis of local interaction models,economics,test
embryonic development of the visual system,neuroscience,test
biocomplexity of aquatic microbial systems relating diversity of microorganisms to ecosystem function,oceanography,test
primary production and nutritional interaction in vestimentiferan aggregations on the juan de fuca ridge,oceanography,test
tonga and fiji seismic arrays for investigating slab processes and upper mantle phase transformations,geophysics,test
"applied ecological model of the multipurpose tree species leucaena leucocephala (lam.) de wit (leguminosae) and its major pest,",ecology,test
mathematical sciences the connection matrix and its applications,math,test
mathematical sciences non-autonomous differential equations,math,test
impact of military downsizing on the life course in russia,sociology,test
flight patterns the politics of residential segregation in the united states,sociology,test
bailing out the savings and loan industry corporate welfare and the welfare state,sociology,test
random function models and applications,statistics,test
mathematical sciences gordon conference on statistics in chemistry and chemical engineering,statistics,test
"learnability framework, concepts, algorithms",theory,test
mathematical sciences semiparametric models & estimation of survival functions,statistics,test
"unemployment, vacancies and wages",economics,test
u.s. globec laboratory and field studies of impacts of invertebrate predators on fish eggs and larvae on georges bank,oceanography,test
radiometric dating of whale bones-a tool for study of succession and persistence of whale fall chemoautotrohic assemblages,oceanography,test
